Matrix_Size,N_Threads,Thread,Time
200,14,7,779
200,14,8,783
200,14,9,780
200,14,10,782
200,14,11,775
200,14,12,789
200,14,13,775
200,14,0,772
200,14,1,777
200,14,2,776
200,14,3,772
200,14,4,774
200,14,5,779
200,14,6,775
200,14,7,773
200,14,8,777
200,14,9,784
200,14,10,778
200,14,11,774
200,14,12,786
200,14,13,780
200,14,0,774
200,14,1,771
200,14,2,768
200,14,3,777
200,14,4,778
200,14,5,774
200,14,6,779
200,14,7,772
200,14,8,772
200,14,9,775
200,14,10,776
200,14,11,771
200,14,12,778
200,14,13,786
200,14,0,811
200,14,1,815
200,14,2,812
200,14,3,819
200,14,4,814
200,14,5,812
200,14,6,811
200,14,7,810
200,14,8,816
200,14,9,813
200,14,10,818
200,14,11,809
200,14,12,816
200,14,13,823
200,14,0,770
200,14,1,775
200,14,2,775
200,14,3,777
200,14,4,770
200,14,5,777
200,14,6,780
